id,avis,note,reponse_proprietaire
avis-001,"Excellents gyros. Bien sûr, le service est raide, c’est fermé pour on ne sait pas quoi, mais on s’en fout. On n’est pas à saint lambert, pas besoin de courbettes. Amenez votre monnaie papier.",5,"We are close to opening day,we thank you for the 5 stars and can’t wait to serve you again. As with  service we sent the employees to a winter anger management course and I think they will be calmer this year, thanks"
avis-002,"Vous nous avez manqué! Les meilleurs poutine a la viande , on a bien hâte de vous visiter.",5,"We’ll be opening up on the 27 th of February 2025 and looking forward to seeing you and all the poutine lovers. Are away on vacation and are recharging the batteries for another year at LA LIGNEROUGE ,LOL thanks for the stars again"
avis-003,It's just famous so go eat there but bring cash no debit,5,Thanks for the stars and review
avis-004,La nourriture est bonne et pas chère. Ouvert dans la nuit. Mais le service est mauvais et certains employés ne sont sympathique du tout.,4,"You are right, but sometimes you just can’t have it all , thanks for the reminder and the stars"
avis-005,Comme dans le temps . Merci d’être de retour . Toujours aussi bon,5,Merci Randy
avis-006,Legends!,5,thanks for the stars
avis-007,Très bon la poutine viande!,5,Ricky Merci pour les étoiles
avis-008,"Bon snack service rapide le personnel est sympa. Les frites sont bonnes et le pita aussi.  Seuls points négatifs, la propreté des locaux et la qualité de la viande.",3,Merci Marc on va essayer des fêtes notre meilleur
avis-009,Lots of food and so delicious. Cash only!,5,Thanks for the review Alana. Hope you will enjoy it for years to come.
avis-010,The gyro here is the best in town.,5,thanks for the stars and the review
avis-011,Best Souvlaki in Montreal. Easy accessible by metro. Fantastic service. Best gyros in town.,5,"Thanks jennifer,we're always happy to serve and hear from you"
avis-012,"I feel like people leaving bad reviews about the service are the same ones who expect bus drivers to smile and say hello to every customer. All the times ive been there, i say hey, i pick my stuff, we nod. i pick up my food and we nod again. Its good ""junk"" food, thats what matters to me. When i feel like eating 2 hotdogs and a hamburger, I pick this place.",5,You da MAN!!!!
avis-013,"Super bon kebab ! Les portions sont généreuses, les prix sont vraiment raisonnables, et la qualité est au rendez-vous. Viande savoureuse, pain bien frais, et tout est bien assaisonné. Une excellente adresse pour un repas qui cale bien sans se ruiner. Je recommande !",5,Merci pascal
avis-014,"Popped into this place tonight for the first time after craving a poutine and it was INCREDIBLE. The fries were crispy, layered with thick cheese curds, and delicious gravy.

The portion size was huge and the prices are good. The grill & prep area were very clean.

It’s cash only & the two gentleman working are focused on making the tasty food, not to chat. All good, will be back.",5,Thanks for the great review ANTONIO. Don’t forget to tell your friends about it.
avis-015,"Excellent resto grec pour déguster des gyros. La viande est tendre, juteuse et super savoureuse. Les frites maison sont délicieuse (pas salées alors on peut choisir la quantité de sel). Les pitas sont frais, tendres et moelleux. Un must!! Attention par contre, argent comptant seulement",5,Merci pour les bons Revieux Marianne
